Format Version,1.21,Take Name,testrit 4 21-4,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-21 11.48.20 AM,Total Frames in Take,833,Total Exported Frames,833,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1),Jetracer 3(id1)
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,
105,0.875000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
106,0.883333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
107,0.891667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
108,0.900000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
109,0.908333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
110,0.916667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
111,0.925000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
112,0.933333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
113,0.941667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
114,0.950000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
115,0.958333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
116,0.966667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
117,0.975000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
118,0.983333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
119,0.991667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
120,1.000000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
121,1.008333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
122,1.016667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
123,1.025000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
124,1.033333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
125,1.041667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
126,1.050000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
127,1.058333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
128,1.066667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
129,1.075000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
130,1.083333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
131,1.091667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
132,1.100000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
133,1.108333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
134,1.116667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
135,1.125000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
136,1.133333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
137,1.141667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
138,1.150000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
139,1.158333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
140,1.166667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
141,1.175000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
142,1.183333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
143,1.191667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
144,1.200000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
145,1.208333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
146,1.216667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
147,1.225000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
148,1.233333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
149,1.241667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
150,1.250000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
151,1.258333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
152,1.266667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
153,1.275000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
154,1.283333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
155,1.291667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
156,1.300000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
157,1.308333,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
158,1.316667,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
159,1.325000,-0.005047,-0.038458,-0.013857,-0.999151,-4.115004,0.114691,-0.395339,0.008137
